伙	[亻火,huǒ_huo,GB0]
会	[人二厶,huì_kuài,GB0]
伛	[亻匚乂,yǔ,GB0]
伞	[人丷十,sǎn,GB0]
伟	[亻キ乛,wěi,GB0]
传	[亻二㇉丶,chuán_zhuàn,GB0]
伢	[亻牙,yá,GB0]
伤	[亻𠂉力,shāng,GB0]
伥	[亻长,chāng,GB0]
伦	[亻人匕,lún,GB0]
伧	[亻人㔾,cāng_chen,GB0]
伪	[亻丶力丶,wěi,GB0]
伫	[亻宀一,zhù,GB0]
伯	[亻白,bó_bǎi_mò_bà,GB0]
估	[亻古,gū_gù,GB0]
伲	[亻尸匕,nì_ní_nǐ,GB0]
伴	[亻丷キ,bàn_pàn,GB0]
伶	[亻人丶マ,líng,GB0]
伸	[亻申,shēn,GB0]
伺	[亻乛一口,cì_sì,GB0]
似	[亻乚丶人,shì_sì,GB0]
伽	[亻力口,gā_jiā_qié,GB0]
佃	[亻田,diàn_tián,GB0]
但	[亻日一,dàn_tǎn_yàn,GB0]
位	[亻立,wèi_lì,GB0]
低	[亻{卬左}七丶,dī,GB0]
住	[亻丶王,zhù,GB0]
佐	[亻{左上}工,zuǒ,GB0]
佑	[亻{左上}口,yòu,GB0]
体	[亻木一,tǐ_tī_bèn_cuì,GB0]
何	[亻丁口,hé_hè,GB0]
佗	[亻宀匕,tuó_tuō_tuò_yí,GB0]
佘	[人示,shé,GB0]
余	[人一木,yú_tú_xú_yù,GB0]
佚	[亻丿夫,yì_dié,GB0]
佛	[亻弓{介下},fú_fó_bó_bì,GB0]
作	[亻𠂉{乍下},zuò_zuō_zuó,GB0]
佝	[亻勹口,gōu_kòu_jū,GB0]
佞	[亻二女,nìng,GB0]
佟	[亻夊⺀,tóng,GB0]
你	[亻冖小,nǐ,GB0]
佣	[亻用,yōng_yòng,GB0]
佤	[亻瓦,wǎ,GB0]
佥	[人一{兴上},qiān,GB0]
佧	[亻上卜,kǎ,GB0]
佩	[亻几一巾,pèi,GB0]
佬	[亻耂匕,lǎo_liáo,GB0]
佯	[亻羊,yáng,GB0]
佰	[亻丆日,bǎi_mò,GB0]
佳	[亻土土,jiā,GB0]
佴	[亻耳,èr_nài,GB0]
佶	[亻士口,jí,GB0]
佻	[亻儿二二,tiāo_tiáo_tiào_diǎo_yáo_dào_zhào,GB0]
佼	[亻亠八乂,jiǎo_jiāo_xiáo,GB0]
佾	[亻八月,yì,GB0]
使	[亻一口乂,shǐ,GB0]
侃	[亻口{荒下},kǎn,GB0]
侄	[亻至,zhí,GB0]
侈	[亻夕夕,chǐ,GB0]
侉	[亻大一丂,kuǎ_huá_è_wú,GB0]
例	[亻一夕刂,lì_liè,GB0]
侍	[亻土寸,shì,GB0]
侏	[亻牛八,zhū_zhōu,GB0]
侑	[亻{左上}月,yòu,GB0]
侔	[亻厶牛,móu_máo,GB0]
侗	[亻冂一口,dòng_tōng_tóng_tǒng,GB0]
供	[亻龷八,gōng_gòng,GB0]
依	[亻亠𧘇,yī_yǐ,GB0]
侠	[亻夫丷,xiá,GB0]
侣	[亻口口,lǚ,GB0]
侥	[亻七丿兀,jiǎo_yáo,GB0]
侦	[亻卜贝,zhēn,GB0]
侧	[亻贝刂,cè_zè_zhāi,GB0]
侨	[亻夭{介下},qiáo,GB0]
侩	[亻人二厶,kuài,GB0]
侪	[亻文{介下},chái,GB0]
侬	[亻冖𧘇,nóng,GB0]
侮	[亻𠂉母,wǔ,GB0]
侯	[亻コ矢,hóu_hòu,GB0]
侵	[亻彐冖又,qīn_qǐn,GB0]
便	[亻一日乂,biàn_pián_biān,GB0]
促	[亻足,cù_chuò,GB0]
俄	[亻丿扌戈,é,GB0]
俅	[亻一水丶,qiú,GB0]
俊	[亻厶八夊,jùn_shùn_dūn,GB0]
俎	[人人且,zǔ,GB0]
俏	[亻小月,qiào_xiào_xiāo,GB0]
俐	[亻禾刂,lì,GB0]
俑	[亻マ用,yǒng,GB0]
俗	[亻八人口,sú,GB0]
俘	[亻爪子,fú,GB0]
俚	[亻里,lǐ_lì,GB0]
俜	[亻由丂,pīng,GB0]
保	[亻口木,bǎo,GB0]
俞	[人一月刂,yú_shù,GB0]
俟	[亻厶矢,qí_sì,GB0]
信	[亻言,xìn_shēn,GB0]
俣	[亻口一大,yǔ,GB0]
俦	[亻丰寸,chóu,GB0]
俨	[亻丌䒑丿,yǎn,GB0]
俩	[亻一冂人,liǎ_liǎng,GB0]
俪	[亻一{冂丶}{冂丶},lì,GB0]
俭	[亻人一{兴上},jiǎn,GB0]
修	[亻丨夊彡,xiū,GB0]
俯	[亻广亻寸,fǔ,GB0]
俱	[亻且八,jù_jū,GB0]
俳	[亻非,pái,GB0]
俸	[亻𡗗キ,fèng_běng,GB0]
俺	[亻大电,ǎn_yàn,GB0]
俾	[亻{卑上}十,bǐ_bì_bēi_pì,GB0]
倌	[亻宀尸コ,guān,GB0]
倍	[亻立口,bèi_péi,GB0]
倏	[亻丨夊犬,shū,GB0]
倒	[亻至刂,dào_dǎo,GB0]
倔	[亻尸屮凵,jué_juè,GB0]
倘	[亻尚,tǎng_cháng,GB0]
候	[亻丨コ矢,hòu,GB0]
倚	[亻大丁口,yǐ_jī_yī,GB0]
倜	[亻⺆土口,tì_diào_zhōu,GB0]
借	[亻龷日,jiè,GB0]
倡	[亻日日,chàng_chāng,GB0]
倥	[亻穴工,kōng_kǒng,GB0]
倦	[亻丷夫㔾,juàn,GB0]
倨	[亻尸古,jù,GB0]
倩	[亻龶月,qiàn_qìng,GB0]
倪	[亻臼儿,ní_nì_niè,GB0]
倬	[亻卜早,zhuō,GB0]
倭	[亻禾女,wō_wēi_wǒ,GB0]
倮	[亻日木,luǒ,GB0]
债	[亻龶贝,zhài,GB0]
值	[亻十且,zhí,GB0]
倾	[亻匕丆贝,qīng,GB0]
偃	[亻匚日女,yǎn,GB0]
假	[亻尸二又,jiǎ_jià_jie_xià_xiá_gé,GB0]
偈	[亻日勹乚,jì_jié_qì,GB0]
偌	[亻艹{左上}口,ruò_rè,GB0]
偎	[亻田{畏下},wēi,GB0]
偏	[亻户冊,piān,GB0]
偕	[亻匕匕白,xié_jiē,GB0]
做	[亻古夊,zuò,GB0]
停	[亻{亮頭}丁,tíng,GB0]
健	[亻彐キ廴,jiàn,GB0]
偬	[亻勹{两撇}心,zǒng_cōng,GB0]
偶	[亻禺,ǒu,GB0]
偷	[亻人一刂,tōu,GB0]
偻	[亻米女,lóu_lǚ,GB0]
偾	[亻十卄贝,fèn,GB0]
偿	[亻龸二厶,cháng,GB0]
