的	0.03059088
一	0.01617265
了	0.01550463
不	0.01392225
是	0.01344144
我	0.01314553
人	0.00892041
有	0.00829679
在	0.00822021
他	0.00725223
上	0.00614473
大	0.00578752
你	0.00568648
到	0.00530071
子	0.00471473
这	0.00464853
就	0.00459024
道	0.00458421
下	0.00434980
中	0.00432508
地	0.00426448
出	0.00414952
天	0.00400958
也	0.00400499
那	0.00399878
来	0.00390793
个	0.00389539
着	0.00367538
要	0.00366085
去	0.00364824
看	0.00360822
可	0.00353814
小	0.00352149
以	0.00351199
然	0.00350875
自	0.00346825
得	0.00345545
好	0.00345440
生	0.00339715
心	0.00323074
说	0.00316081
來	0.00301128
家	0.00291332
能	0.00289652
和	0.00286645
起	0.00284871
们	0.00282931
都	0.00279693
她	0.00269746
么	0.00256398
多	0.00253462
想	0.00249840
之	0.00249620
年	0.00249065
們	0.00247229
事	0.00243877
成	0.00241287
没	0.00240647
這	0.00239357
手	0.00237661
面	0.00232913
而	0.00230770
如	0.00226721
前	0.00224537
高	0.00219294
山	0.00219197
时	0.00216168
只	0.00213699
身	0.00209544
里	0.00208614
個	0.00207829
什	0.00203450
方	0.00202328
回	0.00201642
國	0.00201258
知	0.00196513
時	0.00195918
为	0.00192520
过	0.00192464
用	0.00192176
力	0.00192157
把	0.00187126
情	0.00185534
行	0.00185282
己	0.00185221
所	0.00181387
意	0.00180926
会	0.00179762
还	0.00178477
老	0.00175431
后	0.00174994
會	0.00174224
又	0.00172687
很	0.00172564
作	0.00172246
同	0.00171526
學	0.00170431
後	0.00168387
過	0.00166681
些	0.00165239
真	0.00164422
对	0.00163171
法	0.00162586
日	0.00162291
明	0.00161280
分	0.00161217
但	0.00159608
定	0.00153319
正	0.00148818
眼	0.00148589
公	0.00148433
外	0.00147746
已	0.00147433
因	0.00145789
走	0.00145463
本	0.00144663
笑	0.00142935
果	0.00142744
女	0.00142571
此	0.00140095
三	0.00138721
打	0.00134625
十	0.00132629
最	0.00132411
開	0.00132377
水	0.00131626
全	0.00131500
其	0.00128945
發	0.00128483
主	0.00128262
感	0.00127031
头	0.00126789
向	0.00125759
样	0.00125633
文	0.00124403
理	0.00123738
重	0.00123601
相	0.00123290
口	0.00122303
白	0.00121759
為	0.00120825
著	0.00118983
再	0.00118606
太	0.00118321
動	0.00118135
才	0.00117459
現	0.00115666
光	0.00115024
开	0.00114491
美	0.00114453
部	0.00114368
做	0.00111943
新	0.00111492
神	0.00111241
被	0.00111111
西	0.00110407
經	0.00110252
頭	0.00110111
對	0.00110079
无	0.00110026
色	0.00109782
现	0.00109600
少	0.00109215
說	0.00108740
月	0.00108262
車	0.00107371
