# simp: table/freq_simp.txt
# trad: table/freq_trad.txt
# prop: 0.10:0.90
# table/freq_simp.txt total freq: 0.99999337
# table/freq_trad.txt total freq: 0.99999971
的	0.02259693
一	0.01422422
了	0.01318745
不	0.01249150
我	0.01120557
是	0.01097029
人	0.00830152
有	0.00742071
在	0.00670069
上	0.00602400
大	0.00585936
他	0.00565203
來	0.00541548
子	0.00484178
到	0.00468586
中	0.00454478
們	0.00444022
天	0.00434136
這	0.00430675
你	0.00426660
下	0.00421490
生	0.00401498
出	0.00396532
地	0.00396374
道	0.00379410
個	0.00372330
小	0.00364266
國	0.00361834
以	0.00357191
去	0.00352797
時	0.00351933
就	0.00350098
説	0.00347829
可	0.00339069
家	0.00331680
山	0.00329569
要	0.00324629
然	0.00321989
也	0.00320174
得	0.00319369
自	0.00318107
好	0.00316436
會	0.00313979
看	0.00310299
學	0.00305436
心	0.00305013
年	0.00302156
那	0.00301366
後	0.00299640
過	0.00299632
成	0.00290066
高	0.00289289
爲	0.00289224
能	0.00271709
起	0.00267443
麽	0.00265398
多	0.00261379
和	0.00252575
事	0.00241352
没	0.00241218
開	0.00237813
都	0.00236829
前	0.00236618
發	0.00230582
面	0.00228238
如	0.00226469
之	0.00223017
方	0.00217702
行	0.00217150
手	0.00214562
動	0.00212787
用	0.00211853
回	0.00210594
日	0.00209175
現	0.00208071
作	0.00206870
力	0.00206642
而	0.00201203
著	0.00200049
同	0.00198559
經	0.00198260
頭	0.00198100
對	0.00197707
車	0.00192726
復	0.00191702
門	0.00191585
想	0.00190924
着	0.00190622
臺	0.00187093
長	0.00182842
點	0.00182486
分	0.00182080
岳	0.00181468
公	0.00180447
還	0.00178863
所	0.00177616
把	0.00176634
於	0.00175824
法	0.00174762
身	0.00174624
只	0.00172167
外	0.00171856
意	0.00171265
情	0.00170507
明	0.00170111
知	0.00169099
果	0.00167745
因	0.00163999
什	0.00163153
師	0.00160895
定	0.00160848
水	0.00160196
老	0.00157010
真	0.00156748
無	0.00156558
