⺀	(⺀,Ye,,部首補充)
噵	(䒑自辶口,QdRiHcOv,dào,GBK)
噶	(口艹日乚,OvScJrKn,gá_gé,GB0)
噷	(口立日欠,OvAlJrSq,hm_xīn_hēn,GBK)
噸	(口七凵貝,OvWiDkXb,dūn,GBK)
噹	(口尚田,OvJsYt,dāng,GBK)
噺	(口立木斤,OvAlFmCj,xīn,GBK)
噻	(口宀{冓上}土,OvKbSaGt,sāi,GB0)
噼	(口尸口辛,OvYsOvRx,pī,GB0)
噽	(壴口不一,PzOvObFi,pǐ,GBK)
噾	(口穴立日,OvWxAlJr,yīn,GBK)
噿	(口习习十,OvBiBiQi,zuǐ,GBK)
嚀	(口宀心丁,OvKbTiDd,níng,GBK)
嚁	(口习习隹,OvBiBiYz,dí,GBK)
嚂	(口臣{⺮右}皿,OvDeAvXm,làn_hǎn,GBK)
嚃	(口罒水辶,OvKwHsHc,tā_tà,GBK)
嚄	(口艹隹又,OvScYzBo,huō_huò_wò_ǒ,GBK)
嚅	(口雨而,OvXuPe,rú,GB0)
嚆	(口艹高,OvScLg,hāo,GB0)
嚇	(口土{介下}八,OvGtUaUa,xià_hè,GBK)
嚈	(口厂日犬,OvMcJrLq,yè,GBK)
嚉	(口业羊寸,OvLyHvAc,duō,GBK)
嚊	(口自田丌,OvRiYtYj,pì_xì_xiù,GBK)
嚋	(口士乛寸,OvGiViAc,chóu_zhōu,GBK)
嚌	(口亠丷二,OvLtQdYe,jì_jiē_zhāi,GBK)
嚍	(口肀一皿,OvXjFiXm,jìn,GBK)
嚎	(口{亮頭}豕,OvLgBi,háo,GB0)
嚏	(口十冖龰,OvQiPiNz,tì,GB0)
嚐	(口尚匕日,OvJsIbJr,cháng,GBK)
嚑	(口千黑,OvYqQh,xūn,GBK)
嚒	(口麻幺,OvBvTa,mē,GBK)
嚓	(口宀{祭上}示,OvKbWyDi,cā_chā,GB0)
嚔	(口十冖龰,OvQiPiNz,tì_zhì,GBK)
嚕	(口魚日,OvByJr,lǔ_lū,GBK)
嚖	(口丰丰心,OvLfLfTi,huì,GBK)
嚗	(口日龷水,OvJrScHs,bó_pào_bào,GBK)
嚘	(口丆月夊,OvUsWyEu,yōu,GBK)
嚙	(口齒,OvWc,niè_yǎo,GBK)
嚚	(口口臣口,OvOvDeOv,yín,GBK)
嚛	(口白幺木,OvDaTaFm,hù_yo,GBK)
嚜	(口黑土,OvQhGt,me_mèi_ma,GBK)
嚝	(口广龷八,OvLaScUa,hōng,GBK)
嚞	(士口士口,GiOvGiOv,zhé,GBK)
嚟	(口禾勹水,OvVeHbHs,lí,GBK)
嚠	(口卯金刂,OvGmKjGd,liú,GBK)
嚡	(口革土土,OvGgGtGt,hai,GBK)
嚢	(十口冖𧘇,QiOvPiSi,náng,GBK)
嚣	(口口丆口,OvOvUsOv,xiāo_áo,GB0)
嚤	(口麻手,OvBvOs,mó,GBK)
嚥	(口卄一灬,OvScFiTo,yàn,GBK)
嚦	(口厂禾止,OvMcVeNz,lì,GBK)
嚧	(口{虎头}田皿,OvMhYtXm,lú,GBK)
嚨	(口立月{龍右},OvAlWyNv,lóng,GBK)
嚩	(口糹甫寸,OvPsSfAc,mó,GBK)
嚪	(口門冖臼,OvCmPiHj,dàn,GBK)
嚫	(口立木見,OvAlFmLj,chèn,GBK)
嚬	(口止小貝,OvNzViXb,pín,GBK)
嚭	(壴口不口,PzOvObOv,pǐ,GBK)
嚮	({纟上}丿丶向,NjMpLdDx,xiàng_xiǎng,GBK)
嚯	(口雨隹,OvXuYz,huò_xuè,GB0)
嚰	(口麻石,OvBvUs,mó,GBK)
嚱	(口{虎头}一戈,OvMhFiMe,xì,GBK)
嚲	({京頭}子口十,LgKzOvQi,duǒ,GBK)
嚳	(臼乂乂口,HjCiCiOv,kù,GBK)
嚴	(口口厂夊,OvOvMcEu,yán_yǎn,GBK)
嚵	(口冖口丶,OvPiOvLd,chán_chān,GBK)
嚶	(口貝貝女,OvXbXbRn,yīng,GBK)
嚷	(口{襄頭}{冓上}𧘇,OvLgSaSi,rǎng_rāng,GB0)
嚸	(口黑卜口,OvQhNvOv,diǎn,GBK)
嚹	(口缶{虎头}{于下},OvXfMhAc,lá_la,GBK)
嚺	(口罒䒑辶,OvKwQdHc,tà,GBK)
嚻	(口口丆口,OvOvUsOv,xiāo,GBK)
嚼	(口爪罒寸,OvBzKwAc,jué_jiáo_jiào,GB0)
嚽	(口龶勹貝,OvHqHbXb,chuò,GBK)
嚾	(口艹口隹,OvScOvYz,huān_huàn,GBK)
嚿	(口艹隹臼,OvScYzHj,huò,GBK)
囀	(口車{專上}寸,OvNcNcAc,zhuàn,GBK)
囁	(口耳耳耳,OvMrMrMr,niè_zhé,GBK)
囂	(口口丆口,OvOvUsOv,xiāo_áo,GBK)
囃	(口亠人隹,OvLtReYz,cà_zhā_zǎ,GBK)
囄	(口文凵隹,OvRwDkYz,lí,GBK)
囅	(口口日{畏下},OvOvJrHw,chǎn,GBK)
囆	(口艹禺虫,OvScLuAo,chài,GBK)
囇	(口一{冂丶}鹿,OvFiPkKl,lì,GBK)
囈	(口艹土厶,OvScGtKs,yì,GBK)
囉	(口罒糹隹,OvKwPsYz,luō_luó_luo,GBK)
囊	(十口冖𧘇,QiOvPiSi,náng_nāng,GB0)
囋	(口⺧儿貝,OvTnNeXb,zá_zàn_cān,GBK)
囌	(口艹魚禾,OvScByVe,sū,GBK)
囍	(壴口壴口,PzOvPzOv,xǐ,GBK)
囎	(口貝丷日,OvXbQdJr,zen,GBK)
囏	(卄一口口,ScFiOvOv,jiān,GBK)
囐	(口{虎头}一犬,OvMhFiLq,zá_niè_yàn_è,GBK)
囑	(口尸水虫,OvYsHsAo,zhǔ,GBK)
囒	(口艹門丷,OvScCmQd,lán,GBK)
囓	(口丰刀齒,OvLfIaWc,niè,GBK)
囔	(口十口𧘇,OvQiOvSi,nāng_nang,GB0)
囕	(口臣{⺮右}見,OvDeAvLj,lǎn,GBK)
囖	(口竹罒隹,OvAvKwYz,lo,GBK)
囗	(囗,Xw,wéi_guó,GB0)
囘	(冂巳,PkNi,huí,GBK)
囙	(囗コ,XwBo,yīn,GBK)
囚	(囗人,XwRe,qiú,GB0)
四	(囗儿,XwNe,sì,GB0)
囜	(囗厶,XwKs,nín,GBK)
囝	(囗子,XwKz,jiǎn_nān_yuè,GB0)
回	(囗口,XwOv,huí,GB0)
囟	({囟框}乂,DxCi,xìn,GB0)
因	(囗大,XwUd,yīn,GB0)
囡	(囗女,XwRn,nān_niè,GB0)
团	(囗{于下}丿,XwAcMp,tuán_qiú,GB0)
団	(囗寸,XwAc,tuán,GBK)
囤	(囗七凵,XwWiDk,dùn_tún,GB0)
囥	(囗亠几,XwLtDj,kàng,GBK)
囦	(囗水,XwHs,yuān,GBK)
囧	(囗八冂,XwUaPk,jiǒng,GBK)
囨	(囗不,XwOb,piān,GBK)
囩	(囗二厶,XwYeKs,yún,GBK)
囪	({囟框}{两撇}丶,DxHpLd,cōng,GBK)
囫	(囗勹{两撇},XwHbHp,hú,GB0)
囬	(囗〢二,XwIvYe,huí,GBK)
园	(囗一兀,XwFiPw,yuán_wán,GB0)
囮	(囗亻匕,XwEeIb,é,GBK)
囯	(囗王,XwJw,guó,GBK)
困	(囗木,XwFm,kùn,GB0)
囱	({囟框}夊,DxEu,cōng_chuāng,GB0)
囲	(囗二{介下},XwYeUa,tōng,GBK)
図	(囗⺀乂,XwYeCi,tú,GBK)
围	(囗キ乛,XwEkVi,wéi,GB0)
囵	(囗人匕,XwReIb,lún,GB0)
囶	(囗八土,XwUaGt,guó,GBK)
囷	(囗禾,XwVe,qūn,GBK)
囸	(囗一止,XwFiNz,rì,GBK)
囹	(囗人丶マ,XwReLdBo,líng,GB0)
固	(囗古,XwIu,gù,GB0)
囻	(囗巳七,XwNiWi,guó,GBK)
囼	(囗厶口,XwKsOv,tāi,GBK)
国	(囗王丶,XwJwLd,guó,GB0)
图	(囗夊⺀,XwEuYe,tú,GB0)
囿	(囗{左上}月,XwSzWy,yòu,GB0)
圀	(囗八方,XwUaNf,guó,GBK)
圁	(囗言,XwUy,yín,GBK)
圂	(囗豕,XwBi,hùn_huàn,GBK)
圃	(囗甫,XwSf,pǔ,GB0)
圄	(囗一{五下}口,XwFiQwOv,yǔ,GB0)
圅	(マ囗䒑十,BoXwQdQi,hán,GBK)
圆	(囗口贝,XwOvCe,yuán,GB0)
圇	(囗人一冊,XwReFiIc,lún,GBK)
圈	(囗丷夫㔾,XwQdKfVi,quān_juān_juàn_quán_juǎn,GB0)
圉	(囗土䒑十,XwGtQdQi,yǔ,GB0)
圊	(囗龶月,XwHqWy,qīng,GB0)
國	(囗戈口一,XwMeOvFi,guó,GBK)
圌	(囗山而,XwTsPe,chuán_chuí,GBK)
圍	(囗韋,XwQw,wéi,GBK)
圎	(囗厶貝,XwKsXb,yuán,GBK)
圏	(囗丷夫己,XwQdKfEj,quān,GBK)
圐	(囗罒方,XwKwNf,kū,GBK)
圑	(囗甫寸,XwSfAc,pǔ,GBK)
園	(囗土口𧘇,XwGtOvSi,yuán,GBK)
圓	(囗口貝,XwOvXb,yuán,GBK)
圔	(囗土厶皿,XwGtKsXm,yà,GBK)
圕	(囗彐土日,XwXjGtJr,tú,GBK)
圖	(囗口十口,XwOvQiOv,tú,GBK)
圗	(囗厶十二,XwKsQiYe,tú,GBK)
團	(囗{專上}寸,XwNcAc,tuán_chuán,GBK)
圙	(囗八面,XwUaWm,lüè,GBK)
圚	(囗口丄貝,XwOvKsXb,huì,GBK)
圛	(囗罒土十,XwKwGtQi,yì,GBK)
圜	(囗罒一𧘇,XwKwFiSi,huán_yuán,GB0)
圝	(囗言糹糹,XwUyPsPs,luán,GBK)
圞	(囗言糹木,XwUyPsFm,luán,GBK)
土	(土,Gt,tǔ_dù_chǎ_tú,GB0)
圠	(土乚,GtKn,yà,GBK)
圡	(土丶,GtLd,tǔ,GBK)
圢	(土丁,GtDd,tǐng,GBK)
圣	(又土,BoGt,shèng_kū,GB0)
圤	(土卜,GtNv,pú,GBK)
圥	(土儿,GtNe,lù,GBK)
圦	(土入,GtPr,kuài,GBK)
圧	(厂土,McGt,yā,GBK)
在	({左上}丨土,SzIvGt,zài,GB0)
圩	(土一{于下},GtFiAc,wéi_xū_yú,GB0)
圪	(土𠂉乙,GtAvVi,gē_yì,GB0)
圫	(土丿七,GtMpWi,yù_tuō_zhūn,GBK)
圬	(土一丂,GtFiEk,wū,GB0)
圭	(土土,GtGt,guī,GB0)
圮	(土己,GtEj,pǐ,GB0)
圯	(土巳,GtNi,yí,GB0)
地	(土也,GtJe,dì_de,GB0)
圱	(千土,YqGt,qiān_sú,GBK)
圲	(土千,GtYq,qiān,GBK)
圳	(土川,GtYc,zhèn_quǎn_chóu_huái,GB0)
圴	(土勹丶,GtHbLd,zhuó,GBK)
圵	(土上,GtKs,dàng,GBK)
圶	(大土,UdGt,qià,GBK)
圷	(土下,GtJx,xià,GBK)
圸	(土山,GtTs,shān,GBK)
圹	(土广,GtLa,kuàng,GB0)
场	(土𠄎{两撇},GtViHp,chǎng_cháng,GB0)
圻	(土斤,GtCj,qí_yín,GB0)
圼	(日土,JrGt,niè,GBK)
圽	(土勹{两撇},GtHbHp,mò,GBK)
圾	(土乃乀,GtVnLd,jī_jí_jié,GB0)
圿	(土人{介下},GtReUa,jiá,GBK)
址	(土止,GtNz,zhǐ,GB0)
坁	(土{卬左}七,GtGmWi,zhǐ_zhì,GBK)
坂	(土⺁又,GtCjBo,bǎn,GB0)
坃	(土一兀,GtFiPw,xūn,GBK)
坄	(土殳,GtDs,yì,GBK)
坅	(土人丶乛,GtReLdVi,qǐn,GBK)
坆	(土夊,GtEu,méi_fén,GBK)
均	(土勹二,GtHbYe,jūn_yùn,GB0)
坈	(土冖几,GtPiDj,rǒng_kēng,GBK)
坉	(土七凵,GtWiDk,tún_dùn,GBK)
坊	(土方,GtNf,fāng_fáng,GB0)
坋	(土八刀,GtUaIa,bèn_fèn,GBK)
坌	(八刀土,UaIaGt,bèn,GB0)
坍	(土⺆亠,GtHbLt,tān,GB0)
坎	(土欠,GtSq,kǎn_kàn,GB0)
坏	(土不,GtOb,huài_pī_péi,GB0)
坐	(人人土,ReReGt,zuò,GB0)
坑	(土亠几,GtLtDj,kēng_kàng,GB0)
坒	(匕匕土,IbIbGt,bì,GBK)
坓	(二{介下}土,YeUaGt,jǐng_xíng,GBK)
坔	(水土,HsGt,dì_làn,GBK)
坕	(爪土,BzGt,jīng,GBK)
坖	(一兀土,FiPwGt,jì,GBK)
块	(土コ人,GtBoRe,kuài_yué,GB0)
坘	(土一彑,GtFiWu,dǐ,GBK)
坙	(一巛土,FiJcGt,jīng,GBK)
坚	(〢又土,IvBoGt,jiān,GB0)
坛	(土二厶,GtYeKs,tán,GB0)
坜	(土厂力,GtMcWl,lì,GB0)
坝	(土贝,GtCe,bà,GB0)
坞	(土乌,GtXv,wù,GB0)
坟	(土文,GtRw,fén,GB0)
坠	(阝人土,BfReGt,zhuì,GB0)
坡	(土皮,GtEp,pō,GB0)
坢	(土丷キ,GtQdEk,bàn_pǎn_pàn,GBK)
坣	(龸土,JsGt,táng,GBK)
坤	(土申,GtNs,kūn,GB0)
坥	(土且,GtHq,qū_jù,GBK)
坦	(土日一,GtJrFi,tǎn,GB0)
坧	(土石,GtUs,zhī,GBK)
坨	(土宀匕,GtKbIb,tuó_yí,GB0)
坩	(土卄二,GtScYe,gān,GB0)
坪	(土干丷,GtNgQd,píng,GB0)
坫	(土卜口,GtNvOv,diàn_zhēn,GB0)
坬	(土瓜,GtBg,guà_wā,GBK)
坭	(土尸匕,GtYsIb,ní,GB0)
坮	(土厶口,GtKsOv,tái,GBK)
坯	(土不一,GtObFi,pī_huài,GB0)
坰	(土冂口,GtPkOv,jiōng,GBK)
坱	(土冂大,GtPkUd,yǎng,GBK)
坲	(土弓{介下},GtPgUa,fó,GBK)
坳	(土幺力,GtTaWl,ào_āo_yǒu,GB0)
坴	(土八土,GtUaGt,lù,GBK)
坵	(土斤一,GtCjFi,qiū,GBK)
坶	(土母,GtWu,mǔ_mù_méi,GB0)
坷	(土丁口,GtDdOv,kě_kē_jiōng,GB0)
坸	(土勹口,GtHbOv,gòu,GBK)
坹	(土穴,GtWx,xuè,GBK)
坺	(土{左上}又丶,GtSzBoLd,bá,GBK)
坻	(土{卬左}七丶,GtGmWiLd,chí_dǐ,GB0)
坼	(土斤丶,GtCjLd,chè,GB0)
坽	(土人丶マ,GtReLdBo,líng,GBK)
坾	(土宀丁,GtKbDd,zhù,GBK)
坿	(土亻寸,GtEeAc,fù_fú,GBK)
垀	(土丿丷{于下},GtMpQdAc,hū,GBK)
垁	(土矢,GtAi,zhì,GBK)
垂	(壬龷,TeSc,chuí_zhuì,GB0)
垃	(土立,GtAl,lā_la,GB0)
垄	(尤丿土,KyMpGt,lǒng,GB0)
垅	(土尤丿,GtKyMp,lǒng,GB0)
垆	(土卜尸,GtNvYs,lú,GB0)
垇	(土{雋下}一,GtPkFi,ào,GBK)
垈	(亻弋土,EeMiGt,dài,GBK)
垉	(土勹巳,GtHbNi,páo,GBK)
垊	(土巳七,GtNiWi,min,GBK)
型	(一卄刂土,FiScGdGt,xíng,GB0)
垌	(土冂一口,GtPkFiOv,dòng_tóng_tǒng,GB0)
垍	(土自,GtRi,jì_jī,GBK)
垎	(土夊口,GtEuOv,hè,GBK)
垏	(土彐キ,GtXjEk,lǜ,GBK)
垐	(二欠土,YeSqGt,cí,GBK)
垑	(土夕夕,GtUxUx,chǐ,GBK)
垒	(厶厶厶土,KsKsKsGt,lěi,GB0)
垓	(土亥,GtEh,gāi,GB0)
垔	(西土,SiGt,yīn,GBK)
垕	(⺁一口土,CjFiOvGt,hòu,GBK)
垖	(土𠂤,GtXd,duī,GBK)
垗	(土儿二二,GtNeYeYe,zhào,GBK)
垘	(土亻犬,GtEeLq,fú,GBK)
垙	(土小兀,GtViPw,guāng,GBK)
垚	(土土土,GtGtGt,yáo,GBK)
垛	(土几木,GtDjFm,duǒ_duò,GB0)
垜	(土乃木,GtVnFm,duǒ_duò,GBK)
垝	(土冖厂㔾,GtPiMcVi,guǐ,GBK)
垞	(土宀丿七,GtKbMpWi,chá,GBK)
垟	(土羊,GtHv,yáng,GBK)
垠	(土艮,GtMg,yín_kèn,GB0)
垡	(亻戈土,EeMeGt,fá,GB0)
垢	(土⺁一口,GtCjFiOv,gòu,GB0)
垣	(土一日一,GtFiJrFi,yuán,GB0)
垤	(土至,GtUz,dié,GB0)
垥	(土合,GtRh,xié,GBK)
垦	(艮土,MgGt,kěn_yín,GB0)
垧	(土向,GtDx,shǎng_jiōng,GB0)
垨	(土宀寸,GtKbAc,shǒu,GBK)
垩	(丌䒑土,YjQdGt,è_shèng,GB0)
垪	(土䒑卄,GtQdSc,bìng,GBK)
垫	(扌九丶土,CoTjLdGt,diàn,GB0)
垬	(土龷八,GtScUa,hóng,GBK)
垭	(土丌䒑,GtYjQd,yā,GB0)
垮	(土大一丂,GtUdFiEk,kuǎ,GB0)
垯	(土大辶,GtUdHc,da,GBK)
垰	(土上下,GtKsJx,kǎ,GBK)
垱	(土小彐,GtViXj,dàng,GBK)
垲	(土山己,GtTsEj,kǎi,GB0)
垳	(土彳亍,GtXiLc,háng,GBK)
垴	(土文凵,GtRwDk,nǎo,GB0)
垵	(土宀女,GtKbRn,ǎn_ān,GBK)
垶	(土辛,GtRx,xīng,GBK)
垷	(土見,GtLj,xiàn,GBK)
垸	(土宀一兀,GtKbFiPw,yuàn_huán,GB0)
垹	(土丰阝,GtLfBf,bāng,GBK)
垺	(土爪子,GtBzKz,fū_fú_fóu_pēi_póu,GBK)
垻	(土貝,GtXb,bà_bèi,GBK)
垼	(彳殳土,XiDsGt,yì,GBK)
垽	(氵斤土,IsCjGt,yìn,GBK)
垾	(土日干,GtJrNg,hàn_àn,GBK)
垿	(土广予,GtLaMu,xù,GBK)
埀	(千丬匕二,YqJqIbYe,chuí,GBK)
埁	(土山人乛,GtTsReVi,qín,GBK)
埂	(土一日乂,GtFiJrCi,gěng,GB0)
埃	(土厶矢,GtKsAi,āi_zhì,GB0)
埄	(土夊丰,GtEuLf,běng_fēng,GBK)
埅	(阝方土,BfNfGt,fáng_fāng_dì,GBK)
埆	(土冖用,GtPiIy,què_jué,GBK)
埇	(土マ用,GtBoIy,yǒng,GBK)
埈	(土厶八夊,GtKsUaEu,jùn,GBK)
埉	(土大人人,GtUdReRe,jiā_xiá,GBK)
埊	(山水土,TsHsGt,dì,GBK)
埋	(土里,GtGl,mái_mán,GB0)
埌	(土丶艮,GtLdMg,làng,GBK)
埍	(土口月,GtOvWy,juǎn,GBK)
城	(土戊乛,GtMwVi,chéng,GB0)
埏	(土丿止廴,GtMpNzJd,shān_yán,GB0)
埐	(土彐冖又,GtXjPiBo,jīn_qín,GBK)
埑	(扌斤土,CoCjGt,zhé,GBK)
埒	(土爪寸,GtBzAc,liè,GB0)
埓	(土爪寸,GtBzAc,liè,GBK)
埔	(土甫,GtSf,pǔ_bù,GB0)
埕	(土口王,GtOvJw,chéng,GB0)
埖	(土艹亻匕,GtScEeIb,huā,GBK)
埗	(土止小,GtNzVi,bù,GBK)
埘	(土日寸,GtJrAc,shí,GB0)
埙	(土口贝,GtOvCe,xūn,GB0)
埚	(土口冂人,GtOvPkRe,guō,GB0)
埛	(土冂八口,GtPkUaOv,jiōng,GBK)
埜	(木木土,FmFmGt,yě,GBK)
埝	(土人丶心,GtReLdTi,niàn_diàn_niè,GB0)
埞	(土宀一龰,GtKbFiNz,dī,GBK)
域	(土戈口一,GtMeOvFi,yù,GB0)
埠	(土𠂤十,GtXdQi,bù,GB0)
埡	(土一{亞下},GtFiQy,yā_è_wǔ_yà,GBK)
埢	(土丷夫㔾,GtQdKfVi,quán_juǎn,GBK)
埣	(土亠人十,GtLtReQi,suì_sù,GBK)
埤	(土{卑上}十,GtXgQi,pí_pì_bì_bēi,GB0)
埥	(土龶月,GtHqWy,qīng_zhēng,GBK)
埦	(土宀夕㔾,GtKbUxVi,wǎn_wān,GBK)
埧	(土且八,GtHqUa,jù,GBK)
埨	(土人一冊,GtReFiIc,lǔn_lùn,GBK)
埩	(土冖彐亅,GtPiXjVi,zhēng_chéng,GBK)
埪	(土穴工,GtWxKg,kōng,GBK)
埫	(土尚,GtJs,chǒng_tǎng_shǎng,GBK)
埬	(土木日,GtFmJr,dōng,GBK)
埭	(土彐水,GtXjHs,dài,GB0)
埮	(土火火,GtThTh,tàn_tán,GBK)
埯	(土大电,GtUdPd,ǎn_yǎn,GB0)
埰	(土爪木,GtBzFm,cài_cǎi,GBK)
埱	(土上小又,GtKsViBo,chù_tòu,GBK)
埲	(土𡗗キ,GtWpEk,běng_bàng,GBK)
埳	(土冖臼,GtPiHj,kǎn_xiàn,GBK)
埴	(土十且,GtQiHq,zhí,GB0)
埵	(土壬龷,GtTeSc,duǒ,GBK)
埶	(土八土丶,GtUaGtLd,yì_shì,GBK)
執	(土䒑十丶,GtQdQiLd,zhí,GBK)
埸	(土日勹{两撇},GtJrHbHp,yì,GB0)
培	(土立口,GtAlOv,péi_pǒu_pī,GB0)
基	(其土,TqGt,jī,GB0)
埻	(土{京頭}子,GtLgKz,zhǔn_duī_guó,GBK)
埼	(土大丁口,GtUdDdOv,qí,GBK)
埽	(土彐冖巾,GtXjPiVj,sào_sǎo,GB0)
埾	(耳又土,MrBoGt,jù,GBK)
埿	(氵尸匕土,IsYsIbGt,ní_nì_bàn,GBK)
堀	(土尸屮凵,GtYsDcDk,kū,GB0)
堁	(土日木,GtJrFm,kè,GBK)
堂	(尚土,JsGt,táng,GB0)
堃	(方方土,NfNfGt,kūn,GBK)
堄	(土臼儿,GtHjNe,nì,GBK)
堅	(臣又土,DeBoGt,jiān,GBK)
堆	(土隹,GtYz,duī_zuī,GB0)
堇	(革二,GgYe,jǐn_qín_jìn,GB0)
堈	(土冂䒑山,GtPkQdTs,gāng,GBK)
堉	(土亠厶月,GtLtKsWy,yù,GBK)
堊	(一{亞下}土,FiQyGt,è_yà,GBK)
堋	(土月月,GtWyWy,péng_bèng_pēng_pīng,GB0)
堌	(土囗古,GtXwIu,gù,GBK)
堍	(土冖口丶,GtPiOvLd,tù,GB0)
堎	(土土八夊,GtGtUaEu,lèng,GBK)
堏	(木方土,FmNfGt,fang,GBK)
堐	(土厂土土,GtMcGtGt,yá,GBK)
堑	(车斤土,PjCjGt,qiàn,GB0)
堒	(土日匕匕,GtJrIbIb,kūn,GBK)
堓	(土山厂干,GtTsMcNg,àn,GBK)
堔	(土冖八木,GtPiUaFm,shēn,GBK)
堕	(阝{左上}月土,BfSzWyGt,duò_huī,GB0)
堖	(土巛{囟框}乂,GtJcDxCi,nǎo,GBK)
堗	(土穴犬,GtWxLq,tū,GBK)
堘	(土丷夫土,GtQdKfGt,chéng,GBK)
堙	(土西土,GtSiGt,yīn,GB0)
堚	(土冖車,GtPiNc,hún,GBK)
堛	(土一口田,GtFiOvYt,bì,GBK)
堜	(土木囗丷,GtFmXwQd,liàn,GBK)
堝	(土咼,GtVk,guō_wō,GBK)
堞	(土世木,GtGsFm,dié,GB0)
堟	(土{互中}豕,GtWuBi,zhuàn,GBK)
堠	(土亻コ矢,GtEeBoAi,hòu,GB0)
堡	(亻口木土,EeOvFmGt,bǎo_bǔ_pù,GB0)
堢	(土亻口木,GtEeOvFm,bǎo,GBK)
堣	(土禺,GtLu,yú,GBK)
堤	(土日一龰,GtJrFiNz,dī_tí_dǐ_shí_wéi,GB0)
堥	(予丿夊土,MuMpEuGt,máo_móu_wǔ,GBK)
堦	(土匕匕白,GtIbIbDa,jiē,GBK)
堧	(土而大,GtPeUd,ruán_nuò,GBK)
堨	(土日勹乚,GtJrHbKn,yè_è_ài,GBK)
堩	(土忄一一,GtHxFiFi,gèng,GBK)
堪	(土其乚,GtTqKn,kān_chěn,GB0)
堫	(土乂凵夊,GtCiDkEu,zōng,GBK)
堬	(土人一刂,GtReFiGd,yú,GBK)
堭	(土白王,GtDaJw,huáng,GBK)
堮	(土口口丂,GtOvOvEk,è,GBK)
堯	(土土土兀,GtGtGtPw,yáo,GBK)
堰	(土匚日女,GtWfJrRn,yàn,GB0)
報	(土䒑十又,GtQdQiBo,bào_fù,GBK)
堲	(彐厶卩土,XjKsKjGt,cí_jí,GBK)
堳	(土{眉上}目,GtYsRm,méi,GBK)
場	(土日一{两撇},GtJrFiHp,chǎng_cháng_shāng_dàng,GBK)
堵	(土耂日,GtGtJr,dǔ_zhě_dū,GB0)
堶	(土{左上}工月,GtSzKgWy,tuó,GBK)
堷	(土立日,GtAlJr,yìn_pǒu,GBK)
堸	(土風,GtVf,féng,GBK)
堹	(土千里,GtYqGl,zhòng,GBK)
堺	(土田人{介下},GtYtReUa,jiè,GBK)
堻	(氵彐キ土,IsXjEkGt,jīn,GBK)
堼	(土土寸土,GtGtAcGt,hèng,GBK)
堽	(土罒一止,GtKwFiNz,gāng,GBK)
堾	(土𡗗日,GtWpJr,chūn,GBK)
堿	(土戊一口,GtMwFiOv,jiǎn_kǎn_xián,GBK)
塀	(土尸䒑卄,GtYsQdSc,píng,GBK)
塁	(田二二土,YtYeYeGt,lěi,GBK)
塂	(土龷八巳,GtScUaNi,xiàng_jiǎng,GBK)
塃	(土艹亡{荒下},GtScWwNe,huāng,GBK)
塄	(土罒方,GtKwNf,léng,GB0)
塅	(土亻三殳,GtEeJaDs,duàn,GBK)
塆	(土亦弓,GtHiPg,wān,GBK)
塇	(土宀一一,GtKbFiFi,xuān,GBK)
塈	(彐厶匚土,XjKsWfGt,jì_xì,GBK)
塉	(土二二月,GtYeYeWy,jí,GBK)
塊	(土鬼,GtXg,kuài,GBK)
塋	(火火冖土,ThThPiGt,yíng,GBK)
塌	(土日习习,GtJrBiBi,tā_dā,GB0)
塍	(月丷夫土,WyQdKfGt,chéng,GB0)
塎	(土穴人口,GtWxReOv,yǒng,GBK)
塏	(土山一䒑,GtTsFiQd,kǎi,GBK)
塐	(土龶糸,GtHqPs,sù,GBK)
塑	(䒑屮月土,QdDcWyGt,sù,GB0)
塒	(土日土寸,GtJrGtAc,shí,GBK)
塓	(土冖日八,GtPiJrUa,mì,GBK)
塔	(土艹合,GtScRh,tǎ_dā_da,GB0)
塕	(土八厶习,GtUaKsBi,wěng,GBK)
塖	(土禾丬匕,GtVeJqIb,chéng,GBK)
塗	(氵人一土,IsReFiGt,tú_dù,GBK)
塘	(土广肀口,GtLaXjOv,táng,GB0)
塙	(土高,GtLg,què_qiāo,GBK)
塚	(土冖豕丶,GtPiBiLd,zhǒng,GBK)
塛	(土西木,GtSiFm,lì,GBK)
塜	(土冖一豕,GtPiFiBi,zhǒng_péng,GBK)
塝	(土亠丷方,GtLtQdNf,bàng,GBK)
塞	(宀{冓上}八土,KbSaUaGt,sāi_sài_sè,GB0)
塟	(艹一夕土,ScFiUxGt,zàng,GBK)
塠	(土𠂤辶,GtXdHc,duī,GBK)
塡	(土匕目八,GtIbRmUa,tián,GBK)
塢	(土烏,GtCu,wù_wǔ,GBK)
塣	(氵口王土,IsOvJwGt,zhèng,GBK)
塤	(土口貝,GtOvXb,xūn,GBK)
塥	(土一口丨,GtFiOvIv,gé,GB0)
塦	(阝車土,BfNcGt,zhèn,GBK)
塧	(土䒑八皿,GtQdUaXm,ài,GBK)
塨	(土龷八丶,GtScUaLd,gōng,GBK)
塩	(土𠂉口皿,GtAvOvXm,yán,GBK)
塪	(土爪臼,GtBzHj,kǎn,GBK)
填	(土十且八,GtQiHqUa,tián_tiǎn_chén_zhèn,GB0)
塬	(土厂白小,GtMcDaVi,yuán,GB0)
塭	(土日皿,GtJrXm,wēn,GBK)
