⺀	(⺀,Ye,,部首補充)
⼮	(巛,Jc,,康熙部首)
⼯	(工,Kg,,康熙部首)
⼰	(己,Ej,,康熙部首)
⼱	(巾,Vj,,康熙部首)
⼲	(干,Ng,,康熙部首)
⼳	(幺,Ta,,康熙部首)
⼴	(广,La,,康熙部首)
⼵	(廴,Jd,,康熙部首)
⼶	(卄,Sc,,康熙部首)
⼷	(弋,Mi,,康熙部首)
⼸	(弓,Pg,,康熙部首)
⼹	(彐,Xj,,康熙部首)
⼺	(彡,Hp,,康熙部首)
⼻	(彳,Xi,,康熙部首)
⼼	(心,Ti,,康熙部首)
⼽	(戈,Me,,康熙部首)
⼾	(戶,Kv,,康熙部首)
⼿	(手,Os,,康熙部首)
⽀	(十又,QiBo,,康熙部首)
⽁	(卜又,NvBo,,康熙部首)
⽂	(文,Rw,,康熙部首)
⽃	(⺀十,YeQi,,康熙部首)
⽄	(斤,Cj,,康熙部首)
⽅	(方,Nf,,康熙部首)
⽆	(一尢,FiKy,,康熙部首)
⽇	(日,Jr,,康熙部首)
⽈	(日,Jr,,康熙部首)
⽉	(月,Wy,,康熙部首)
⽊	(木,Fm,,康熙部首)
⽋	(欠,Sq,,康熙部首)
⽌	(止,Nz,,康熙部首)
⽍	(一夕,FiUx,,康熙部首)
⽎	(殳,Ds,,康熙部首)
⽏	({母框}十,WuQi,,康熙部首)
⽐	(匕匕,IbIb,,康熙部首)
⽑	(毛,Hm,,康熙部首)
⽒	({卬左}七,GmWi,,康熙部首)
⽓	(气,Mq,,康熙部首)
⽔	(水,Hs,,康熙部首)
⽕	(火,Th,,康熙部首)
⽖	(爪,Bz,,康熙部首)
⽗	(八乂,UaCi,,康熙部首)
⽘	(乂乂,CiCi,,康熙部首)
⽙	(爿,Lc,,康熙部首)
⽚	(片,Lp,,康熙部首)
⽛	(牙,Qy,,康熙部首)
⽜	(牛,Tn,,康熙部首)
⽝	(犬,Lq,,康熙部首)
⽞	(亠幺,LtTa,,康熙部首)
⽟	(王丶,JwLd,,康熙部首)
⽠	(瓜,Bg,,康熙部首)
⽡	(瓦,Nw,,康熙部首)
⽢	(卄二,ScYe,,康熙部首)
⽣	(生,Le,,康熙部首)
⽤	(用,Iy,,康熙部首)
⽥	(田,Yt,,康熙部首)
⽦	(乛龰,ViNz,,康熙部首)
⽧	(疒,Yb,,康熙部首)
⽨	(癶,Bo,,康熙部首)
⽩	(白,Da,,康熙部首)
⽪	(皮,Ep,,康熙部首)
⽫	(皿,Xm,,康熙部首)
⽬	(目,Rm,,康熙部首)
⽭	(予丿,MuMp,,康熙部首)
⽮	(矢,Ai,,康熙部首)
⽯	(石,Us,,康熙部首)
⽰	(示,Di,,康熙部首)
⽱	(冂厶,PkKs,,康熙部首)
⽲	(禾,Ve,,康熙部首)
⽳	(穴,Wx,,康熙部首)
⽴	(立,Al,,康熙部首)
⽵	(竹,Av,,康熙部首)
⽶	(米,Tm,,康熙部首)
⽷	(糸,Ps,,康熙部首)
⽸	(缶,Xf,,康熙部首)
⽹	(冂乂乂,PkCiCi,,康熙部首)
⽺	(羊,Hv,,康熙部首)
⽻	(习习,BiBi,,康熙部首)
⽼	(耂匕,GtIb,,康熙部首)
⽽	(而,Pe,,康熙部首)
⽾	(丰八,LfUa,,康熙部首)
⽿	(耳,Mr,,康熙部首)
⾀	(彐キ,XjEk,,康熙部首)
⾁	(冂人人,PkReRe,,康熙部首)
⾂	(臣,De,,康熙部首)
⾃	(自,Ri,,康熙部首)
⾄	(至,Uz,,康熙部首)
⾅	(臼,Hj,,康熙部首)
⾆	(舌,Ss,,康熙部首)
⾇	(夕ヰ,UxEk,,康熙部首)
⾈	(舟,Qo,,康熙部首)
⾉	(艮,Mg,,康熙部首)
⾊	(冖巴,PiNb,,康熙部首)
⾋	(屮屮,DcDc,,康熙部首)
⾌	({虎头},Mh,,康熙部首)
⾍	(虫,Ao,,康熙部首)
⾎	(丿皿,MpXm,,康熙部首)
⾏	(彳亍,XiLc,,康熙部首)
⾐	(亠𧘇,LtSi,,康熙部首)
⾑	(一冂凵,FiPkDk,,康熙部首)
⾒	(見,Lj,,康熙部首)
⾓	(冖用,PiIy,,康熙部首)
⾔	(言,Uy,,康熙部首)
⾕	(八人口,UaReOv,,康熙部首)
⾖	(一口䒑,FiOvQd,,康熙部首)
⾗	(豕,Bi,,康熙部首)
⾘	(豸,Ez,,康熙部首)
⾙	(貝,Xb,,康熙部首)
⾚	(土{介下}八,GtUaUa,,康熙部首)
⾛	(走,Mz,,康熙部首)
⾜	(足,Jz,,康熙部首)
⾝	(身,Rs,,康熙部首)
⾞	(車,Nc,,康熙部首)
⾟	(辛,Rx,,康熙部首)
⾠	(辰,Bc,,康熙部首)
⾡	(彡龰,HpNz,,康熙部首)
⾢	(口巴,OvNb,,康熙部首)
⾣	(酉,Vo,,康熙部首)
⾤	(丿米,MpTm,,康熙部首)
⾥	(里,Gl,,康熙部首)
⾦	(金,Kj,,康熙部首)
⾧	(長,Wz,,康熙部首)
⾨	(門,Cm,,康熙部首)
⾩	(𠂤十,XdQi,,康熙部首)
⾪	(彐水,XjHs,,康熙部首)
⾫	(隹,Yz,,康熙部首)
⾬	(雨,Xu,,康熙部首)
⾭	(龶冂丄,HqPkKs,,康熙部首)
⾮	(非,Uf,,康熙部首)
⾯	(面,Wm,,康熙部首)
⾰	(革,Gg,,康熙部首)
⾱	(韋,Qw,,康熙部首)
⾲	(非一,UfFi,,康熙部首)
⾳	(立日,AlJr,,康熙部首)
⾴	(丆貝,UsXb,,康熙部首)
⾵	(風,Vf,,康熙部首)
⾶	(飛,Pf,,康熙部首)
⾷	(食,Qs,,康熙部首)
⾸	(䒑自,QdRi,,康熙部首)
⾹	(禾日,VeJr,,康熙部首)
⾺	(馬,Ha,,康熙部首)
⾻	(骨,Wv,,康熙部首)
